"city","tag","date","time","pit_notes"
985,153000402774,"2016-06-16","07:50:01",NULL
985,153000402774,"2016-05-28","10:15:37",NULL
982,"000411818538","2017-06-06","11:58:49",NULL
985,153000373315,"2015-01-10","15:33:26",NULL
985,153000402633,"2016-06-04","10:12:39",NULL
985,153000373292,"2015-06-14","10:39:49",NULL
985,153000403302,"2016-05-27","10:01:17",NULL
985,153000364551,"2016-05-31","09:20:07",NULL
985,153000371164,"2015-01-10","10:39:55",NULL
985,153000402631,"2016-05-15","10:17:29",NULL
986,112100177563,"2017-06-10","14:57:45",NULL
985,153000402535,"2016-05-12","12:02:08",NULL
985,153000372283,"2015-01-10","08:43:38",NULL
985,153000356419,"2016-06-05","10:02:11",NULL
985,153000372689,"2016-06-03","11:08:53",NULL
985,153000353931,"2016-06-07","10:53:00",NULL
985,153000402307,"2015-06-13","09:10:19",NULL
985,153000403302,"2017-06-08","09:24:16",NULL
985,153000402303,"2016-05-21","13:21:40",NULL
985,153000375914,"2017-05-16","11:02:23",NULL
985,153000402230,"2016-06-05","10:44:55",NULL
985,153000404202,"2016-05-25","11:27:43",NULL
985,153000402189,"2016-06-05","10:30:54",NULL
986,112100167619,"2017-06-04","11:58:24",NULL
985,153000402189,"2016-05-16","14:13:16",NULL
986,112100165713,"2017-06-15","10:23:28",NULL
986,112100172684,"2017-06-10","14:22:16",NULL
985,153000402002,"2016-05-29","10:10:58",NULL
985,153000401889,"2015-06-13","11:04:46",NULL
985,153000401829,"2016-05-19","13:49:47",NULL
985,153000401773,"2016-05-19","09:48:00",NULL
986,112100164463,"2017-05-18","11:51:10",NULL
985,153000407425,"2016-05-15","14:07:20",NULL
985,153000401758,"2016-06-16","09:08:05",NULL
985,153000371745,"2016-06-03","10:22:15",NULL
985,153000403244,"2016-05-15","11:16:02",NULL
985,153000401758,"2016-05-28","13:23:02",NULL
985,153000401628,"2016-05-12","14:05:51",NULL
985,153000404956,"2016-05-12","15:38:34",NULL
985,153000401581,"2016-06-16","08:53:57",NULL
985,153000401563,"2016-05-21","08:57:30",NULL
985,153000356249,"2015-06-14","10:10:34",NULL
985,153000401554,"2016-05-29","11:51:59",NULL
982,"000411818490","2017-05-14","10:39:24",NULL
985,153000401446,"2016-05-18","11:16:03",NULL
986,112100175857,"2016-06-14","13:30:45",NULL
985,153000401215,"2016-05-25","15:12:19",NULL
985,153000406811,"2016-05-12","14:31:48",NULL
